,Review,Sentiment
10,This was pure schlock. Lost interest halfway through the first fight scene.,NEGATIVE
11,"Incredible. I am in tears, visually beautiful, heavy and relevant subject matter, beautifully composed music, intense inter-actor connection. cotillard and driver were the perfect artists to pull this off. I loved the conductor. It comes off niche, but it can be enjoyed by anyone with a brain. the people who rate this low are uncultured swine and I am proud to not share a perspective with them. BRAVO!",POSITIVE
12,"Типичный фильм с Районом Рейнольдсом где должно быть смешно, а на самом деле нет. А еще сюжет это смесь WALL E и Первому игроку приготовиться.",NEGATIVE
13,Loved the film! Raw: pain and love... a simply beautiful depiction of the life behind the camera....the true life behind the camera. But In the end it is between us and God.,POSITIVE
14,"Woman, for absolutely no reason, signs up to go into a computer simulation where she can talk to her estranged mother who has become comatose while in prison for burning down a care home but there's demons.",NEGATIVE
15,Great one by marvel,POSITIVE
16,"I wanted to watch a mindless popcorn action movie and I got a movie that feels written, directed, and edited by Wile Coyote. So entertaining but nonsensical. Hyper-cut, consequence-free, and physics-less action, disorientating plot, and monotoned characters with plot armor. It's bad but fun watch on a boarding night when you can't spare any brainpower.",NEGATIVE
17,I love it. A very good movie with handsome Ryan Reynolds AKA Deadpool. Everywhere is some good easter egg here and I really enjoy it.,POSITIVE
18,"Wow, that was not good. What a waste of the Emily Blunt, and to a lesser extend, The Rock. Disney, stop using these no name directors. Label me bad, but French people do not get humour. Any American director would've done a better job. The jokes' timing were poor, the editing during conversations were unimaginative, the action boring, and don't get me started on the CG. Compare this to the 1st Pirates movie, it's a million miles away.",NEGATIVE
19,"Solid movie, kept me entertained the whole time. Wasn't too long and the concept was really cool",POSITIVE
20,"Shang Chi is just another addition to the impressive lore MCU has brought forth with their connected universe. The movie works mainly due to the story it brings out with respect to the folks linked to a distinctive fantasy world and powers appropriated by their descent, the perfect balance of humor, action and the on-screen chemistry between the lead characters. The phase 4 MCU seems to be hitting on all the cylinders so far. The post credit sequences might generate more interest among fans looking forward to the next.",POSITIVE
21,"Bring tissues! I cried three times during this movie. Jennifer Hudson absolutely KILLS it in this! In the theater I was in, everyone clapped at the end. Amazing movie!",POSITIVE
22,"While this French crime drama-comedy serves up a modest share of chuckles and action sequences, its lack of defined motivations and its overpacked story threads tend to water down what could have been a better film had it incorporated an overall sense of greater clarity. When an underpaid French-Arabic police translator working for the narco squad intercepts an undercover message involving the son of a friend, she tries to intervene to shield him while simultaneously cashing in for herself on privileged (and highly lucrative) information, launching a deluge of hot pursuit against her on multiple fronts. Director Jean-Paul Salome's uneven offering benefits tremendously from the superb performance by the ever-reliable Isabelle Huppert, despite the fact that this vehicle is somewhat beneath her considerable talents. And, when the laughs work, they're genuinely funny, even if they come somewhat few and far between. But, despite these strengths, some judicious overall tidying up is required to make this one work more effectively.",POSITIVE
23,This could have been a good movie and I enjoyed parts of it. What I didn't care for was the woke ideals being spouted every 15 minutes. Hollywood is just unable to make a neutral tone film and it is wrecking the industry.,NEGATIVE
24,"Nicolas Cage departs from his usual fare as a gruff action hero for this opportunity to be more sensitive. He plays a recluse who makes his living from the truffles that his pet pig uncovers. When she’s “pignapped,” he sets out to Portland where his past life slowly reveals itself. First-time feature director Michael Sarnoski has given the film a quietly paced, somewhat poetic European feel. It’s a character study that unfolds with mildly interesting and unexpected developments, but also gives Cage an opportunity to play it down (but still doesn't dilute his signature intensity). A dark, somber but ultimately positive character study.",POSITIVE
25,Giving this movie a 10 because it’s one of the funniest movies I’ve ever seen. If you’re on the fence about watching this movie absolutely go see it.,POSITIVE
26,"Reminiscence has certainly a lot of ideas but lack focus. The story just setup too much stuff and maybe worst of all, try to tie them all together through a memory machine. Those ideas aren't bad at all, it's just that you can do a movie for each of them instead of cooking all those ingredients together. The actors are pretty good in the movie. The FX are impressive. The action is minimal. The best action is surely the hand fight in the end. The singing is great but the soundtrack isn't always with the scenes. I found the rhythm to be a bit slow. I give it 53%. I think Lisa Joy can definitively do better, but you see that she didn't exactly do a nice transition between Tv to movie.",NEGATIVE
27,"I love Winstead, but was awful to watch her jump the bandwagon of the latest crappy feminist action movie that has been dumped to streaming platforms this year. A mixture of Crank and John Wick in a very unrealistic outcome. Winstead´s presentation as an assassin is awful. Who texts confirmation messages to her next hit the day before the hit? Her tactics is also very amateur, Taking a sniper shot from kneling position is way worse than a prone position when she has the opportunity to do so. The car chase scene in this movie is also dreadfully bad, totally sped up and fake AF. It is entirely CGI and a very bad rendered one at that. Woody Harrelson has a central, but not so present role. But he can not rescue this movie one bit. Overall, this movie left me with a bad taste metal in my mouth..",NEGATIVE
28,I didn't really like the plot. It felt like it was trying to do way too many things at once. Overall the acting was good but the plot needed a rewrite or more editing.,NEGATIVE
29,Exciting because of the mystery and the original story. This film quickly manages to grab you through the unknown. Despite the cast that feels akward at times (especially Vicky Krieps as the mother) it is a film that knows how to hold your attention to the end. Maybe it was my cup of tea because of the setting reminds me of the series lost but it is a recommendation for the people who love thrillers in general.,POSITIVE
30,"Fast 9 is a great representation of what the fast saga truly is. I was so siked to see the trailer come out a year ago, and it’s awesome that it’s finally out. Furious 9 was a great reunion to the Tokyo drift cast, as well as having Mia back. Seeing Han return while casually snacking on some chips made me smile and think of the good old days. I think the only thing that would have made me 100% satisfied with the reunion would be having gal gadot come back to life RIP :( overall this movie was so fun and had me laughing with ludacris and tyrese’s comedic comments that played throughout the movie. Having roman begin to question how they are still alive cracks me up. I loved watching this in theaters because the reactions from the crowd during the movie showed how much this franchise means to the world. Cant wait for fast 10!!",POSITIVE
31,"It lacks the psychological and ideological complexity to express the complete alienation of its main character. Especially since the film never seems to be sure what it wants to do with him. Is he a psychopath or a sociopath? Quite ambiguous and totally anticlimactic. Obviously there's something extremely disturbing about the main character, but the lethargy of its development, and the poverty of resolutions only give the idea that perhaps there's a monster behind the facade, but only that.",NEGATIVE
32,"The movie is a one time thing. I don’t wanna watch it again and honestly if I could I would go back and unwatch it. But since I can’t and I now have to live with this, I will say the kids loved it, so that’s good I guess. I’d say just stick with the show though. It’s so much better, the voice actors are way better in the show than in the movie. I have it a seven bc it’s a kids movie and the kids liked it so that’s all that matters.",POSITIVE
33,This movie is simply amazing! It shows how funny ryan is and the movie is hilarious and action packed. Definitely one of my favorite movies of the year!,POSITIVE
34,"Fun, bonkers horror flick courtesy of James Wan. This film will split audiences and critics with its audacity. Either you will say WT% or be hollering and cheering at its twist and turns. I found this to be an original film that cements Wan as a true master of horror, The John Carpenter for our generation. All the tricks and trades that he learned, be it in the horror and the action genre are well used here. To say more would be a travesty, but this in my opinion is one of the best horror film of 2021.",NEGATIVE
35,"Pig is one of the best films I have seen in years. It is a brilliant and captivating movie about depression, loss, and the inability to move on after tragedy. Also, Nicolas Cage and Alex Wolff give emotional and realistic performances that are definitely worth seeing. In my eyes, this is a best picture contender.",POSITIVE
36,"Puts you into Lucy's shoes, and really isolates you. Ending catches you off guard",POSITIVE
37,"Best way to describe it, opening scene felt like they were taking it serious and then realized ""wait, we are the F&F!"" and just went on a speed run of events and action sequences that made no sense. If you are watching it just for the meme of it and for purely an ""action"" movie, you will probably enjoy it. If you are watching it for the pure hope it helps or revives the dying franchise from what it once was, don't. I facepalmed and sighed more times than I can remember. Ramon's lines are pretty funny, as well as Tej. Jakob is actually pretty good and the flashback scenes are pretty good. But that's all I can say other than the word ""family"" is only said three times. 3 Families out of 10.",POSITIVE
38,"(Mauro Lanari) The references are many, obvious and blatant, and Dwayne Johnson has learned to self-produce to impress his unmistakable trademark, in this case even a metacinematographic signature: it's all a simulation, a staging as much as the farce of wrestling, omnipresent smile, zero suspense. It had already happened with the Jumanji franchise, he is reiterating it with each of his new (?) films.",NEGATIVE
39,It tries to be sentimental and fails completely. And why do memories produce a complete 3D scene from a third person perspective? Answer: plot convenience. I didn't buy any of it.,NEGATIVE
40,"Working in games, I was a bit apprehensive. Of course, some plot elements would not work in real life, but hey, it's a big, loud, colourful popcorn movie. 7 out of 10 for an interesting premise. I am always wondering what the NPCs may think in a game. 6 out of 10 for the execution; the film, while entertaining, feels a bit clunky at certain times. 8 out of 10 for being pretty much spot on about working conditions and dev politics in the big game industry. Interesting bit: girlfriend, who is a non-gamer, liked it more than I did.",POSITIVE
41,"Esta película fue una grata sorpresa, no esperaba nada ella y termino siendo una de mis películas favoritas de superhéroes.",NEGATIVE
42,This is the craziest of them all! They actually went to space and drive magnet cars!!! What a film!,POSITIVE
43,"Outstanding movie that explains the origins of PTSD, the Abu Ghraib prison scandal, the origins of the debacle in Afghanistan, etc. Well timed for the US exit from Afghanistan.",POSITIVE
44,This movie was realy great I enjoy it alot won't mind watch it again and and most all was great movie. And full of adventure,NEGATIVE
45,"Personally, I love the movie base on some certain scene and the way they act. So entertaining and loving to watch",POSITIVE
46,"The acting and pace of this movie pull away from what may have been a decent movie. Even the twist can't redeem this film. Do yourself a favor and skip this one, even once it is streaming.",NEGATIVE
47,This is James best work. Like the Matrix of horror movies as far as being something that pushes the genre forward ! Great movie and a must watch. Has one of the best action sequences I ever seen a horror movie ever !!!!! A ware horror movie that focuses on being an actually good movie instead of just jump scares !!!!!,POSITIVE
48,"It's OK. It is an hour and 15 minute episode of the regular show with crazy detailed animation and blink and you miss them ""celebrity"" voices. There are no fart jokes so it has that going for it. Chase is dealing with PTSD for some reason and gets over it for some other reason. There is a new dog that serves no purpose. No singing. It is over quickly and it is not too annoying for an adult.",POSITIVE
49,"Good-1) Michael Keaton-good accent, good character work all around. Love the scene where the camera focuses on his face for about 2 minutes, and he pretty subtly gives you the measure of all his thoughts from a series of uncomfortable micro expressions. 2) Script-it must have been really hard to construct a compelling narrative from what seems like just a bunch of bureaucratic decision making. I’m guessing they made a lot of stuff up in terms of interactions between the lawyers and the survivors, but they did a good job of it. Some cliche driven scenes, but could be worse. 3) Michael Keaton and Stanley Tucci- these guys are so good together and at their respective character types that, just as in “Spotlight”, they should become the Crosby and Hope of procedural investigation films. 4) The scene where they show 9/11 happening from the perspective of Feinberg’s (Keaton) morning commute. Bad-1) So I’m sure the team working on the compensation fund was probably huge, with too many characters to develop if you want a cohesive story. And maybe the group was also originally super white,super male and super old. I don’t know. But when adapting true life material, if you’re going to add second tier characters that have to carry the burden of all your inclusion, please give them something to **** do and say. And if the original team was not super male white and old there’s even less excuse. 2) Feinberg’s wife was so great in her first scene, and then by mid way through the movie she doesn’t even get to sit next to him at the opera. 3) More Stanley Tucci please. Always more Stanley Tucci.",POSITIVE
50,Another homerun for Marvel. Glad that this was the first film I decided to watch in theaters since the Pandemic hit. Such a beautiful film to see on the big screen.,POSITIVE
51,"You got some good actors in this movie, but it doesn't help. The problem with this movie is the writing. The way the talk to each others,it just off. A sign that a movie probably is going to be bad is if the same person write and direct a movie.",NEGATIVE
52,"Godd acting, good ambience, tangential horror. Too many ""say my name"", ""white people this"", ""white people that"". Could have been great, but it is nothing but a pamphlet movie screaming mottos and ideologies. Unfortunately wasted opportunity...",NEGATIVE
53,esta buena la pelicula y la disfrute mucho espero que le llega muy bien en taquilla,NEGATIVE
54,"(Mauro Lanari) Once again in the psychothanatological area, coping with the death of loved ones or the mourning of any existence is a topic that in the 21st century should be treated starting from the 1st season of ""True Detective"", while the debutant Sarnoski takes the shortcut of instilling silence with the silence, loneliness with the loneliness, emptiness with the emptiness, sadness with the sadness and so on. It's called the rhetorical method, and I am not aware that aesthetics has ever changed its mind on this point.",NEGATIVE
55,I agree towards the end the movie does seem to lose focus and leave the audience a little unsatisfied. But everything building up to the final act is great. Some memorable scenes and great use of grief and loss. Its for sure worth buying a ticket for.,POSITIVE
56,"Don't waste your time. 0/10 of actor play, 0/10 of storytelling. Worthless movie.",NEGATIVE
57,"It was a good movie to watch. This movie had some good points and some bad points. Good Points: Matt Demon was excellent and thoroughly convincing as Bill. His character development and performance were brilliant. There were some good emotional moments and the love plot was too good. Bad Points: This movie was 2 hours long and most of the time was spent on the love story and character development. They almost forgot the crime and thrilling part of the movie. Also, the ending was rushed and unsatisfying. It was boring as the first act was too long and they drag the movie without any reason.",NEGATIVE
58,"Insanity, ridiculousness, and a lot fun. A must watch if you're bored of the same stale horror modern tropes. A genuinely fun time. Lots of gore and lots of surprises. This movie is bonkers in the best way possible.",POSITIVE
59,"Original and very well crafted horror ride. Reminded me of original ""Evil Dead"".",NEGATIVE
60,"Waste of an hour and a half. If you are going to watch a scary movie with a dumb story the entertainment comes from the scares. This movie is not scary, the jump scares boil down to the movie getting quiet for a second and then a loud unnatural sound effect. For an example, in the beginning they transition a scene with a loud unnatural snapping noise because the main character steps on a stick in the next scene. In scenes where there could be scares and the candyman is killing people they decide not to show it. This movie felt more like an excuse to tell people “gentrification is bad, white people are racist, cops are bad.” I would give it a zero but I did like some of the cinematography in a couple scenes.",NEGATIVE
61,"Jungle Cruise is the latest movie to come out of Hollywood which falls into what I call the CG Social Justice Diarrhea-fest. These types of movies are heavy on fake-looking CG, and indignantly hit you over the head with social justice issues, and Jungle Cruise falls squarely into that category. From the beginning Emily Blunt is constantly told that she can't do things because she's a woman, but spoiler alert, she's better at everything then all the men! What a shocking twist! We've never seen that trope before have we? She's even better at fixing the engine of the steamboat than The Rock is, even though he's been using and repairing it for decades. Later on we find that her annoying brother is tagging along on the dangerous journey because he is a homosexual and society back then treated them poorly instead of throwing pride parades for them every day. Boo hoo! Keep your kids away from this one folks. Disney, how far you've fallen!",NEGATIVE
62,"The movie was OK and the acting was OK. All I know is that there were only a few of us in the theater and no one stayed until the end. I was the last one to leave a completely empty theater near the end. I felt that I knew where the movie was going and there was no reason to stick around any longer. At that point, it felt a little long. Okay movie. I guess.",NEGATIVE
63,"The film is overall average in terms of the storyline and characters. It is weighed down with some noticeable problems, mainly when it comes to cinematography and tone. But The Forever Purge is entertaining enough, and sets up its interesting premise well enough, for these problems not to bog down the film to much. It should be stated though, this film is very, very political. If you lean more to the right, you may not like The Forever Purge as much. I'd give it a watch if you have some cash to burn and want to be entertained for 90 minutes. General audiences will most likely enjoy it.",POSITIVE
64,Sure would like to know how this movie is getting high ratings. Lack luster story line with little flow. I highly recommend spending your time doing something else. If you follow me you know I reluctantly grade in the red but this film deserves it.,POSITIVE
65,"Great action movie with real martial artist-actors. Real action that actually feels like it's happening I was surprised right away that the punches didn't feel like faked punches. The stories' minor twists were actually surprising to me. I don't generally enjoy being confused to satiate some elitist critic, simple good action movie please and thank you.",POSITIVE
66,"Technically this is great, however it completely fails as a horror and is a schizophrenic comedy without any apparent structure. It is not scary in the least, and it makes no sense. It was like a child with ADHD was asked to tell a story while they were high on Halloween candy. The downside is that the 'story' is incoherent, trying to be everything at all times with reason. This leads to dialogue and motivation that the director could not handle, and the acting appear to be poor, yet if you have seen enough bad movies, you know these actors and actresses are doing the best with the material they have. Some are comparing Malignant to Evil Dead series, but that is a superficial comparison as that classic series had an infinite amount of structure compared to this. The real shock is that this does have a lot of fun moments, and may be worth a watch if you are into these movies. This does not change the fact that it is not a good movie. A lot of reviewers fall into the trap of thinking that if they like it, it must be at least a 7. This is quite possibly one of those movies, where it is objectively not very good based on what it wanted to accomplish, but is entertaining in unintentional ways that elevate it. Just be prepared to have a bit of a headache, and the need to mutter WTF over and over, after the movie ends. The twist is highly predicable, but due to the pathological need to do nothing in the standard method, you will never guess how it is carried out. If there was any logic to this, then the cast could actually follow and give a more grounded performance (again this in on the director, not them). So hopefully when this gets a sequel, it will try to be a bit more coherent while acknowledging it was an accidental comedy, and leaning into that. 5/10 - Objectively 7/10 - Subjectively (which may change once my brain heals and I give it a second watch)",POSITIVE
67,"Good movie. I don't understand why so many people treat him so badly? I liked this film, although not 100%))",POSITIVE
68,"A Great Fun, Suspenseful Thriller, and Action Movie and as good as the first one in it's own way, must watch.",POSITIVE
69,"Reach your goal but do not sacrifice your dear ones, and you will get rewarded.",POSITIVE
70,"Nothing to see here except the lovely Milana Vayntrub. There's a single scene in the movie where she dances to 'I Saw the Sign' by Ace of Base which I personally really enjoyed. After that I could have just turned the movie off because it was terrible. It wasn't funny, scary or entertaining. It was just a load of poorly written characters running around doing dumb stuff for no reason until the credits roll. And there's very little werewolf in the whole movie.",NEGATIVE
71,"I saw this movie yesterday and I`m really torn, the main story is pretty good and the martial arts fight scenes are really well done. But one (Awkwafina) character is the constant comic relief in the movie, every 2 minutes she is cracking jokes, after a while it is very distracting and from halfway through the movie she doesn`t make sense to be around, she feels like the producer signed her after the script was ready and she had to be shoehorned in. The sister should have had more screen time she is far more interesting than Katy. And the very last battle is very CGI which would be fine and it is not badly done, but seeing how amazing were the martial arts scenes I feel it is a missed opportunity there. Otherwise the acting is really solid here and like I said the story and the fight scenes were great.",POSITIVE
72,"Think of every cliché you can imagine in a film, and you'll still be very far. 'Reminiscence' is a cringe-fest. You probably heard of all the 'Chinatown' and 'Inception' comparisons, but this neo-noir attempt is absolutely boring and uninspiring. It reminded me of 'Gattaca', and made me appreciate it even more because this is just bad at so many levels. You'll stop caring about the plot halfway or before.",NEGATIVE
73,"Easily one of the Top 10 marvel movies to date. Compared to a puzzle, every piece in this movie fit perfectly into each other.",POSITIVE
74,This movie is adventurous and wonderful Simu Liu doesn’t great and the cast as well,POSITIVE
75,"Another Intellectual Property (IP) ruined by the hand of Jordan Peele (writer). Candyman 2021 is about as scary as a baby rabbit whereas the original excelled in this department. It's not a horror film anymore. And as for the original 1992 film it had a subtext that was brought through in a subtle and well-judged manner. But here the ""message"" is about as subtle as a brick to the face due to the scripting. Please leave other IP's alone so they can't be destroyed.",NEGATIVE
76,"A meaningful metaphor for depression, suicidal thoughts, and coping with loss. You may be disappointed by this one if you take it at face value, without trying trying to interpret it. The horror is meaningful because of the symbolism and the acting drives it home.",POSITIVE
77,"M night shamalan has had a rocky array of films, but this is one of the better ones. With Old, M Night goes back to his roots and makes an interesting and captivating enough in the way that they leave the viewer on the edge of their seat. There are some moments that make the movie fall short of great, but for a 7, the movie packs in a good amount of good. I liked the idea displayed and the cast was great to fit the roles. I think the movie succeeds in the cast and ideas thrown around, but some of the execution is weak. 7/10",POSITIVE
78,IM JARIN!!!!!! Please be M Nights last. Embarrassing. Baffling. Unwatchable.,NEGATIVE
79,"10/10 IF you are are aware of gamer culture, not just play games. 8/10 if you only play games or don't care about games. Why? Free Guy is very ""meta."" This is a nearly perfect movie, polished to perfection due to the many release delays. I suggest audiences think about this as a movie about IMAGINATION more generally, instead of just games. This is another film with three or more big digital VFX houses contributing heavily. This means Sean Levy had the input, creativity and intelligence of three more TDs, Technical Directors. These films, ten or more of them now, have many, many masterful sequences even if the film as a whole doesn't work for everyone. Notable here is the Channing Tatum Badass ""intermission"" in the middle. This appears at exactly the place in the film where the sameness of the premise, characters and digital assets wears on audiences. To see this filmmaking flaw, watch Pixar's UP or Inside Out. Fewer AAA films since have this ""dead space"" lag prior to the third act. The Channing Tatum piece adds novelty and interest just when in the back of the audiences' mind, we're going yeah, yeah, yeah, so what? What else?"" I agree with Paul Stassi's Forbes piece reporting critics rate Free Guy over the Ready Player One film. I also agree Wreck-It Ralph is the next closest film to Free Guy. Free Guy is better because IT'S ABOUT IMAGINATION.",POSITIVE
80,"Фильм бомба 10 из 10, а вы все боты не разбираетесь в фильмах задрали, все тут мега эксперты в фильмах со своими 0 и 1 задрали",NEGATIVE
81,"Not scary, creepy, or intriguing. First act is decent, second act is boring and repetitive, and the third act is goofy and off-the-rails (though not in a good way). Could have been enjoyable shlock but the tone is all over the place. The characters were one dimensional and poorly acted.",NEGATIVE
82,"I'm happy to say that Shang-Chi is an enjoyable and heartfelt film that at times completely amazed me. The films first half was a little rocky and slow, but the latter half of the film really picks up the pace and the movie becomes something completely unique compared to other MCU films. The MCU definitely needed some fresh concepts, and Shang-Chi has plenty. If you want to see some well done fights, awesome visuals, and compelling characters, including a villain that is one of the MCU's best, watch Shang-Chi.",POSITIVE
83,"Movies with plots based around video games have been somewhere between mediocre and awful. Pixels wasn't the worst, the Super Mario Bros. movie had an odd charm, but they didn't blow me away. This...kind of did, but maybe not as Disney intended. I was a little skeptical of the movie's interactions with Youtubers in particular, wondering how much of an influence they'd actually make in the film. This film I think is fantastic for the audience of gamers, showcasing the importance of human interaction, and how games nowadays have gotten far better at embracing that part of gaming culture. It was still an entertaining film beyond this nailing of audience, however. Funny, quick humor, great acting, fun characters, keeps the audience going. I would absolutely recommend watching this film, especially if you're a gamer.",POSITIVE
84,"I didn't watch any trailers or teasers as I wasn't interested in any marvel projects after Endgame, but as the reviews started rolling in positively, I thought i'd check it out and it didn't disappoint! Shang Chi and the legend of the ten rings is a fantastic origin movie, with on spot impressive visual effects, acting, pacing and characters. The story was fun to get along with, and the characters were very likeable. I'd say this did a better job than most Marvel solo origin films this time and I'm actually impressed by the character of Shang-Chi without prior knowledge and based solely on this adaptation! A fun weekend watch and memorable experience!",POSITIVE
85,"I have probably counted at least 5 Martial Arts Movies, Rolled up into this Movie!! Which is pretty good too see. If Marvel & Kevin Fegie, do a Cross Over with another Marvel Movie... That would pretty awesome to see Shang-Chi, evolve into a much better Character...",NEGATIVE
86,The movie was very enjoyable. Doesn't quite top the bus scene. Cast is all good. Not really any woke stuff. Overall worth the watch. The ending is a little disappointing. Stay for two end credit scenes.,NEGATIVE
87,"I typically start movies to abandon them ten minutes in if they suck, which is what I expected for this one. To my surprise, it was almost the movie I expected - but captivating from beginning to end. The photography is fabulous, the acting top notch throughout (seriously, casting should get a no holds barred party thrown for this accomplishment), it avoids all the cliches and sustains a thoughtful pace throughout. Surprise of the year. The only downside is that the story is told from beginning to end, there's not going to be a Kate 2.",POSITIVE
88,"Highly disappointed. I was really looking forward to seeing this movie but a total let down. The first 5 minutes I thought was a bad commercial. If I would’ve known it was the movie at first I would’ve walked out. Absolutely ridiculous acting, the music was terrible, the storyline is just weird. There’s nothing about this movie that I found scary. More of a comedy or a spoof. I’m not really sure what they’re trying to do. I am a huge fan of the conjuring movies so this was a complete let down.",NEGATIVE
